id,num_sold
230130,158
230131,994
230132,758
230133,441
230134,510
230135,312
230136,2012
230137,1537
230138,898
230139,1030
230140,370
230141,2395
230142,1830
230143,1069
230144,1226
230145,159
230146,1025
230147,781
230148,456
230149,525
230150,319
230151,2082
230152,1585
230153,928
230154,1064
230155,378
230156,2467
230157,1883
230158,1097
230159,1260
230160,110
230161,716
230162,546
230163,317
230164,365
230165,223
230166,1452
230167,1107
230168,644
230169,743
230170,265
230171,1727
230172,1319
230173,765
230174,880
230175,6
230176,35
230177,27
230178,15
230179,18
230180,11
230181,72
230182,54
230183,32
230184,36
230185,14
230186,85
230187,65
230188,37
230189,44
230190,258
230191,1665
230192,1268
230193,738
230194,852
230195,521
230196,3393
230197,2581
230198,1504
230199,1732
230200,620
230201,4032
230202,3061
230203,1789
230204,2057
230205,208
230206,1346
230207,1025
230208,596
230209,689
230210,418
230211,2733
230212,2083
230213,1214
230214,1400
230215,498
230216,3246
230217,2479
230218,1441
230219,1664
230220,120
230221,743
230222,582
230223,323
230224,388
230225,238
230226,1506
230227,1179
230228,657
230229,782
230230,282
230231,1781
230232,1395
230233,779
230234,925
230235,121
230236,763
230237,597
230238,334
230239,398
230240,243
230241,1550
230242,1211
230243,678
230244,805
230245,288
230246,1834
230247,1438
230248,802
230249,953
230250,84
230251,535
230252,419
230253,232
230254,277
230255,170
230256,1085
230257,848
230258,472
230259,563
230260,200
230261,1282
230262,1003
230263,558
230264,664
230265,4
230266,26
230267,21
230268,12
230269,14
230270,9
230271,54
230272,42
230273,23
230274,28
230275,9
230276,64
230277,49
230278,27
230279,33
230280,195
230281,1241
230282,971
230283,542
230284,644
230285,397
230286,2522
230287,1974
230288,1097
230289,1307
230290,469
230291,2986
230292,2332
230293,1303
230294,1549
230295,158
230296,1005
230297,786
230298,438
230299,523
230300,319
230301,2042
230302,1595
230303,889
230304,1062
230305,379
230306,2410
230307,1886
230308,1052
230309,1253
230310,115
230311,730
230312,558
230313,314
230314,391
230315,230
230316,1480
230317,1132
230318,639
230319,790
230320,272
230321,1751
230322,1340
230323,758
230324,937
230325,116
230326,750
230327,574
230328,325
230329,402
230330,234
230331,1524
230332,1163
230333,659
230334,813
230335,279
230336,1804
230337,1382
230338,780
230339,965
230340,81
230341,526
230342,401
230343,226
230344,281
230345,164
230346,1066
230347,814
230348,459
230349,569
230350,194
230351,1261
230352,964
230353,542
230354,671
230355,3
230356,26
230357,19
230358,10
230359,14
230360,7
230361,52
230362,40
230363,22
230364,28
230365,9
230366,63
230367,48
230368,27
230369,33
230370,188
230371,1219
230372,933
230373,526
230374,652
230375,383
230376,2480
230377,1895
230378,1067
230379,1322
230380,454
230381,2936
230382,2240
230383,1267
230384,1566
230385,152
230386,988
230387,755
230388,426
230389,528
230390,309
230391,2008
230392,1531
230393,866
230394,1072
230395,367
230396,2370
230397,1812
230398,1023
230399,1268
230400,115
230401,718
230402,554
230403,315
230404,382
230405,229
230406,1455
230407,1124
230408,642
230409,769
230410,270
230411,1720
230412,1328
230413,760
230414,911
230415,115
230416,737
230417,569
230418,326
230419,391
230420,233
230421,1499
230422,1155
230423,662
230424,793
230425,276
230426,1771
230427,1370
230428,782
230429,939
230430,81
230431,517
230432,399
230433,228
230434,273
230435,163
230436,1049
230437,808
230438,461
230439,554
230440,192
230441,1238
230442,954
230443,544
230444,654
230445,4
230446,25
230447,19
230448,12
230449,13
230450,8
230451,52
230452,39
230453,23
230454,27
230455,10
230456,62
230457,47
230458,27
230459,32
230460,188
230461,1199
230462,926
230463,528
230464,635
230465,380
230466,2438
230467,1882
230468,1072
230469,1287
230470,450
230471,2883
230472,2220
230473,1270
230474,1523
230475,152
230476,972
230477,749
230478,428
230479,515
230480,307
230481,1974
230482,1520
230483,869
230484,1045
230485,363
230486,2330
230487,1798
230488,1026
230489,1235
230490,116
230491,731
230492,564
230493,314
230494,394
230495,231
230496,1482
230497,1142
230498,637
230499,793
230500,273
230501,1751
230502,1350
230503,755
230504,939
230505,116
230506,750
230507,578
230508,324
230509,403
230510,235
230511,1526
230512,1173
230513,657
230514,816
230515,278
230516,1803
230517,1391
230518,776
230519,967
