Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS
Agricultural land (% of land area),AG.LND.AGRI.ZS
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS
Arable land (% of land area),AG.LND.ARBL.ZS
Arable land (hectares per person),AG.LND.ARBL.HA.PC
Cereal yield (kg per hectare),AG.YLD.CREL.KG
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS
Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD
Forest area (% of land area),AG.LND.FRST.ZS
Forest area (sq. km),AG.LND.FRST.K2
Land area (sq. km),AG.LND.TOTL.K2
Land under cereal production (hectares),AG.LND.CREL.HA
Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD
Permanent cropland (% of land area),AG.LND.CROP.ZS
Rural population,SP.RUR.TOTL
Rural population (% of total population),SP.RUR.TOTL.ZS
Surface area (sq. km),AG.SRF.TOTL.K2
"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD
Income share held by lowest 20%,SI.DST.FRST.20
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS
Net ODA received (% of gross capital formation),DT.ODA.ODAT.GI.ZS
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS
Net migration,SM.POP.NETM
Net official development assistance received (current US$),DT.ODA.ODAT.CD
Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY
Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS
"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS
"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD
Access to electricity (% of population),EG.ELC.ACCS.ZS
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS
Agricultural land (% of land area),AG.LND.AGRI.ZS
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS
"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS
"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3
Arable land (% of land area),AG.LND.ARBL.ZS
CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ
Cereal yield (kg per hectare),AG.YLD.CREL.KG
Ease of doing business rank (1=most business-friendly regulations),IC.BUS.EASE.XQ
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE
Forest area (% of land area),AG.LND.FRST.ZS
Forest area (sq. km),AG.LND.FRST.K2
Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT
Population growth (annual %),SP.POP.GROW
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS
Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS
"Population, total",SP.POP.TOTL
Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS
Urban population,SP.URB.TOTL
Urban population (% of total population),SP.URB.TOTL.IN.ZS
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD
"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD
Expense (% of GDP),GC.XPN.TOTL.GD.ZS
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS
External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD
GDP (current US$),NY.GDP.MKTP.CD
GDP growth (annual %),NY.GDP.MKTP.KD.ZG
GDP per capita (current US$),NY.GDP.PCAP.CD
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG
