date,name
2010-09-09,Festival of breaking the fast
2011-08-30,Festival of breaking the fast
2012-08-18,Festival of breaking the fast
2013-08-07,Festival of breaking the fast
2014-07-28,Festival of breaking the fast
2015-07-17,Festival of breaking the fast
2016-07-06,Festival of breaking the fast
2017-06-25,Festival of breaking the fast
2018-06-14,Festival of breaking the fast
2019-06-04,Festival of breaking the fast
2010-10-10,Moi Day
2011-10-10,Moi Day
2012-10-10,Moi Day
2013-10-10,Moi Day
2014-10-10,Moi Day
2015-10-10,Moi Day
2016-10-10,Moi Day
2017-10-10,Moi Day
2018-10-10,Moi Day
2019-10-10,Moi Day
2010-11-16,Feast of the Sacrifice
2011-11-06,Feast of the Sacrifice
2012-10-25,Feast of the Sacrifice
2013-10-14,Feast of the Sacrifice
2014-10-04,Feast of the Sacrifice
2015-09-23,Feast of the Sacrifice
2016-09-12,Feast of the Sacrifice
2017-09-01,Feast of the Sacrifice
2018-08-21,Feast of the Sacrifice
2019-08-11,Feast of the 
