iter	Passed	Remaining
0	47	9409
1	90	8930
2	121	8011
3	152	7472
4	193	7531
5	222	7195
6	251	6932
7	281	6758
8	310	6593
9	339	6453
10	368	6332
11	397	6231
12	428	6167
13	458	6088
14	487	6016
15	517	5955
16	546	5882
17	582	5893
18	612	5831
19	641	5770
20	672	5729
21	710	5750
22	739	5694
23	768	5638
24	807	5653
25	838	5611
26	868	5567
27	908	5579
28	948	5593
29	982	5568
30	1012	5521
31	1052	5525
32	1081	5474
33	1111	5424
34	1148	5415
35	1187	5409
36	1216	5359
37	1245	5311
38	1282	5296
39	1314	5259
40	1352	5245
41	1396	5251
42	1425	5203
43	1468	5205
44	1499	5164
45	1528	5117
46	1571	5117
47	1603	5076
48	1632	5031
49	1664	4992
50	1705	4983
51	1735	4938
52	1789	4963
53	1835	4963
54	1866	4920
55	1903	4895
56	1944	4878
57	1981	4851
58	2026	4842
59	2064	4817
60	2095	4774
61	2141	4766
62	2171	4722
63	2211	4699
64	2266	4707
65	2312	4694
66	2357	4679
67	2386	4632
68	2425	4605
69	2462	4573
70	2517	4574
71	2562	4555
72	2626	4569
73	2684	4570
74	2727	4545
75	2784	4543
76	2827	4516
77	2873	4493
78	2922	4475
79	2973	4460
80	3012	4425
81	3041	4377
82	3074	4333
83	3123	4313
84	3172	4292
85	3224	4273
86	3278	4258
87	3337	4247
88	3398	4238
89	3467	4238
90	3521	4218
91	3572	4194
92	3651	4201
93	3723	4199
94	3813	4215
95	3900	4225
96	3972	4218
97	4034	4199
98	4076	4159
99	4135	4135
100	4183	4100
101	4230	4064
102	4279	4030
103	4321	3989
104	4367	3951
105	4434	3932
106	4467	3883
107	4547	3873
108	4603	3843
109	4637	3794
110	4684	3755
111	4730	3716
112	4777	3678
113	4837	3649
114	4914	3632
115	4988	3612
116	5036	3572
117	5086	3534
118	5158	3511
119	5223	3482
120	5276	3444
121	5313	3397
122	5343	3345
123	5376	3295
124	5424	3254
125	5466	3210
126	5502	3162
127	5540	3116
128	5574	3068
129	5624	3028
130	5682	2993
131	5728	2950
132	5786	2915
133	5833	2873
134	5879	2830
135	5921	2786
136	5946	2734
137	5977	2685
138	6004	2635
139	6050	2593
140	6075	2542
141	6111	2496
142	6150	2451
143	6203	2412
144	6244	2368
145	6282	2323
146	6309	2274
147	6335	2226
148	6376	2182
149	6427	2142
150	6465	2097
151	6515	2057
152	6540	2009
153	6574	1963
154	6608	1918
155	6643	1873
156	6672	1827
157	6701	1781
158	6751	1741
159	6779	1694
160	6808	1649
161	6838	1604
162	6869	1559
163	6897	1514
164	6947	1473
165	7012	1436
166	7050	1393
167	7082	1348
168	7110	1304
169	7146	1261
170	7173	1216
171	7201	1172
172	7250	1131
173	7294	1090
174	7338	1048
175	7390	1007
176	7436	966
177	7465	922
178	7515	881
179	7545	838
180	7579	795
181	7620	753
182	7674	712
183	7726	671
184	7776	630
185	7822	588
186	7854	546
187	7910	504
188	7951	462
189	7982	420
190	8013	377
191	8042	335
192	8087	293
193	8119	251
194	8171	209
195	8203	167
196	8250	125
197	8296	83
198	8326	41
199	8354	0
