iter	Passed	Remaining
0	13	37311
1	26	36655
2	39	36529
3	52	36399
4	66	36452
5	73	33865
6	86	34170
7	99	34384
8	112	34530
9	125	34620
10	138	34716
11	151	34805
12	164	34843
13	172	33821
14	185	33980
15	198	34082
16	211	34232
17	224	34274
18	237	34339
19	250	34408
20	264	34487
21	277	34541
22	290	34606
23	304	34805
24	318	34934
25	333	35074
26	346	35153
27	362	35400
28	376	35462
29	390	35542
30	403	35587
31	417	35641
32	436	36102
33	449	36095
34	462	36065
35	475	36043
36	488	36039
37	501	36011
38	515	35995
39	528	35981
40	541	35971
41	554	35957
42	568	35967
43	581	35958
44	595	35954
45	608	35962
46	620	35875
47	638	36105
48	648	35957
49	661	35884
50	674	35905
51	688	35920
52	702	35933
53	716	35963
54	730	35973
55	744	35993
56	758	36013
57	772	36037
58	786	36065
59	800	36060
60	814	36071
61	827	36065
62	840	36040
63	854	36031
64	868	36051
65	872	35648
66	885	35637
67	898	35622
68	911	35616
69	924	35597
70	938	35588
71	951	35576
72	964	35560
73	977	35550
74	991	35557
75	1004	35540
76	1018	35524
77	1031	35505
78	1044	35490
79	1057	35489
80	1070	35473
81	1084	35462
82	1097	35452
83	1110	35441
84	1124	35432
85	1137	35414
86	1150	35403
87	1163	35391
88	1175	35334
89	1188	35314
90	1201	35305
91	1215	35293
92	1228	35275
93	1241	35267
94	1255	35259
95	1268	35251
96	1276	35088
97	1289	35071
98	1302	35050
99	1315	35041
100	1328	35032
101	1334	34831
102	1340	34632
103	1353	34619
104	1366	34607
105	1380	34607
106	1393	34602
107	1406	34599
108	1420	34588
109	1433	34582
110	1446	34572
111	1459	34560
112	1472	34554
113	1486	34543
114	1499	34532
115	1512	34525
116	1525	34514
117	1538	34506
118	1552	34502
119	1565	34486
120	1573	34360
121	1586	34356
122	1599	34347
123	1612	34336
124	1618	34169
125	1631	34160
126	1644	34146
127	1657	34143
128	1672	34162
129	1685	34158
130	1698	34143
131	1712	34139
132	1725	34129
133	1738	34120
134	1751	34107
135	1764	34097
136	1778	34103
137	1792	34105
138	1806	34108
139	1820	34112
140	1833	34113
141	1847	34120
142	1861	34122
143	1875	34124
144	1889	34126
145	1903	34132
146	1917	34134
147	1931	34135
148	1945	34135
149	1958	34134
150	1972	34137
151	1986	34135
152	2000	34139
153	2014	34140
154	2027	34123
155	2033	33988
156	2036	33821
157	2050	33812
158	2063	33802
159	2075	33782
160	2088	33767
161	2101	33752
162	2114	33744
163	2127	33735
164	2141	33724
165	2153	33708
166	2167	33699
167	2179	33685
168	2193	33674
169	2206	33664
170	2219	33659
171	2233	33652
172	2246	33641
173	2259	33632
174	2272	33621
175	2285	33607
176	2298	33596
177	2311	33583
178	2324	33574
179	2337	33560
180	2350	33549
181	2364	33542
182	2377	33526
183	2390	33513
184	2403	33501
185	2416	33486
186	2429	33479
187	2442	33465
188	2455	33450
189	2468	33438
190	2481	33425
191	2494	33419
192	2507	33406
193	2521	33397
194	2533	33382
195	2546	33369
196	2560	33362
197	2573	33348
198	2580	33265
199	2588	33181
200	2601	33173
201	2614	33161
202	2627	33149
203	2640	33139
204	2653	33128
205	2667	33119
206	2680	33106
207	2692	33092
208	2706	33081
209	2718	33066
210	2723	32951
211	2736	32938
212	2749	32929
213	2762	32920
214	2776	32912
215	2788	32899
216	2801	32887
217	2815	32877
218	2828	32866
219	2841	32853
220	2854	32843
221	2867	32832
222	2880	32818
223	2893	32807
224	2905	32790
225	2919	32782
226	2932	32769
227	2945	32759
228	2958	32748
229	2971	32736
230	2985	32731
231	2998	32727
232	3011	32718
233	3025	32709
234	3038	32697
235	3051	32690
236	3065	32681
237	3078	32670
238	3091	32659
239	3104	32645
240	3117	32639
241	3130	32626
242	3143	32613
243	3156	32603
244	3170	32595
245	3183	32585
246	3196	32575
247	3209	32564
248	3223	32554
249	3236	32542
250	3249	32531
251	3262	32522
252	3276	32516
253	3289	32507
254	3302	32497
255	3315	32483
256	3331	32499
257	3344	32486
258	3357	32473
259	3370	32461
260	3383	32449
261	3396	32435
262	3409	32423
263	3422	32411
264	3436	32406
265	3449	32397
266	3462	32384
267	3475	32372
268	3488	32360
269	3502	32349
270	3515	32337
271	3528	32324
272	3541	32314
273	3554	32303
274	3568	32294
275	3581	32285
276	3594	32276
277	3608	32266
278	3621	32254
279	3634	32242
280	3647	32230
281	3660	32220
282	3673	32208
283	3686	32194
284	3699	32182
285	3713	32173
286	3726	32158
287	3738	32144
288	3751	32130
289	3764	32118
290	3778	32108
291	3791	32095
292	3804	32081
293	3817	32069
294	3830	32056
295	3844	32051
296	3858	32047
297	3871	32040
298	3884	32027
299	3898	32016
300	3911	32008
301	3924	31996
302	3937	31984
303	3951	31977
304	3965	31969
305	3978	31959
306	3991	31947
307	4005	31938
308	4018	31925
309	4031	31912
310	4044	31901
311	4057	31888
312	4070	31877
313	4083	31864
314	4097	31853
315	4111	31849
316	4124	31836
317	4137	31823
318	4150	31808
319	4163	31795
320	4176	31783
321	4189	31770
322	4202	31758
323	4215	31745
324	4228	31729
325	4241	31717
326	4253	31703
327	4266	31688
328	4279	31674
329	4292	31662
330	4305	31650
331	4318	31636
332	4332	31625
333	4345	31612
334	4357	31598
335	4371	31586
336	4384	31574
337	4397	31560
338	4410	31548
339	4423	31534
340	4436	31521
341	4448	31506
342	4461	31493
343	4474	31480
344	4488	31468
345	4501	31455
346	4514	31444
347	4527	31431
348	4540	31418
349	4553	31404
350	4566	31390
351	4578	31375
352	4591	31363
353	4604	31349
354	4617	31336
355	4631	31324
356	4643	31310
357	4656	31297
358	4670	31285
359	4682	31271
360	4695	31258
361	4708	31244
362	4721	31231
363	4734	31217
364	4747	31205
365	4760	31191
366	4773	31178
367	4786	31166
368	4800	31156
369	4813	31143
370	4826	31131
371	4839	31120
372	4852	31106
373	4866	31096
374	4879	31084
375	4892	31073
376	4905	31059
377	4918	31046
378	4931	31034
379	4944	31021
380	4957	31008
381	4970	30995
382	4983	30983
383	4997	30971
384	5010	30958
385	5023	30945
386	5036	30934
387	5049	30923
388	5062	30911
389	5076	30900
390	5089	30887
391	5102	30874
392	5115	30864
393	5129	30855
394	5143	30847
395	5156	30834
396	5169	30821
397	5182	30809
398	5195	30796
399	5208	30782
400	5222	30772
401	5235	30761
402	5248	30750
403	5261	30738
404	5274	30724
405	5287	30711
406	5300	30697
407	5313	30684
408	5326	30671
409	5339	30657
