iter	Passed	Remaining
0	17	12785
1	34	12827
2	51	12847
3	66	12396
4	84	12550
5	102	12649
6	119	12625
7	136	12607
8	154	12677
9	171	12654
10	189	12652
11	207	12670
12	223	12626
13	240	12600
14	257	12545
15	274	12538
16	291	12486
17	307	12450
18	324	12430
19	339	12330
20	357	12338
21	374	12322
22	390	12270
23	408	12275
24	426	12297
25	443	12280
26	460	12275
27	477	12245
28	493	12209
29	511	12201
30	525	12127
31	543	12121
32	559	12088
33	575	12061
34	590	12000
35	606	11959
36	622	11934
37	639	11920
38	655	11890
39	672	11864
40	689	11857
41	705	11823
42	724	11841
43	739	11805
44	755	11772
45	773	11771
46	791	11772
47	806	11730
48	823	11709
49	840	11704
50	856	11678
51	871	11629
52	886	11593
53	904	11593
54	921	11572
55	935	11523
56	950	11493
57	967	11477
58	983	11449
59	999	11422
60	1015	11407
61	1030	11371
62	1048	11368
63	1063	11333
64	1079	11314
65	1096	11301
66	1112	11275
67	1127	11242
68	1143	11218
69	1160	11203
70	1177	11193
71	1192	11161
72	1208	11144
73	1225	11124
74	1240	11097
75	1253	11053
76	1270	11034
77	1284	11001
78	1300	10976
79	1314	10939
80	1327	10901
81	1342	10872
82	1358	10854
83	1375	10840
84	1393	10833
85	1410	10826
86	1427	10809
87	1443	10796
88	1459	10776
89	1477	10766
90	1493	10748
91	1507	10714
92	1523	10695
93	1538	10669
94	1555	10656
95	1569	10628
96	1586	10613
97	1602	10592
98	1619	10583
99	1635	10565
100	1652	10552
101	1669	10537
102	1684	10515
103	1701	10500
104	1717	10483
105	1732	10459
106	1747	10434
107	1763	10417
108	1778	10395
109	1794	10375
110	1810	10357
111	1826	10340
112	1845	10337
113	1861	10321
114	1878	10306
115	1895	10294
116	1910	10272
117	1927	10258
118	1942	10236
119	1957	10213
120	1973	10193
121	1988	10172
122	2003	10145
123	2019	10128
124	2036	10118
125	2053	10102
126	2068	10083
127	2086	10075
128	2104	10063
129	2120	10046
130	2135	10023
131	2150	10004
132	2167	9991
133	2184	9977
134	2200	9960
135	2216	9943
136	2232	9923
137	2248	9907
138	2263	9885
139	2279	9866
140	2295	9849
141	2311	9832
142	2327	9813
143	2343	9797
144	2358	9776
145	2374	9758
146	2390	9741
147	2405	9717
148	2421	9702
149	2440	9695
150	2456	9681
151	2474	9668
152	2491	9657
153	2508	9644
154	2524	9623
155	2540	9608
156	2556	9592
157	2573	9576
158	2588	9555
159	2604	9539
160	2620	9520
161	2634	9498
162	2649	9477
163	2664	9456
164	2681	9443
165	2698	9428
166	2716	9417
167	2732	9401
168	2748	9385
169	2762	9360
170	2779	9346
171	2795	9329
172	2811	9311
173	2827	9294
174	2843	9277
175	2858	9257
176	2875	9244
177	2891	9226
178	2906	9205
179	2921	9187
180	2938	9172
181	2954	9154
182	2970	9137
183	2985	9119
184	3001	9102
185	3019	9091
186	3036	9077
187	3051	9057
188	3066	9038
189	3084	9025
190	3101	9011
191	3118	8997
192	3134	8980
193	3150	8963
194	3166	8946
195	3183	8932
196	3199	8916
197	3214	8895
198	3229	8877
199	3246	8863
200	3263	8848
201	3278	8829
202	3296	8818
203	3314	8805
204	3330	8789
205	3347	8774
206	3363	8758
207	3380	8742
208	3396	8727
209	3413	8712
210	3429	8696
211	3444	8676
212	3459	8656
213	3476	8642
214	3492	8626
215	3507	8607
216	3524	8592
217	3540	8575
218	3555	8556
219	3572	8542
220	3589	8527
221	3605	8509
222	3619	8489
223	3638	8478
224	3655	8463
225	3671	8446
226	3686	8429
227	3705	8418
228	3722	8403
229	3737	8384
230	3753	8367
231	3768	8349
232	3783	8331
233	3800	8315
234	3815	8297
235	3833	8284
236	3850	8268
237	3866	8252
238	3883	8238
239	3899	8220
240	3916	8206
241	3932	8189
242	3949	8174
243	3965	8158
244	3981	8141
245	3999	8128
246	4014	8111
247	4031	8095
248	4048	8079
249	4063	8061
250	4079	8045
251	4096	8029
252	4112	8014
253	4129	7998
254	4146	7983
255	4163	7969
256	4181	7955
257	4197	7940
258	4214	7924
259	4229	7906
260	4246	7891
261	4263	7876
262	4278	7857
263	4294	7840
264	4311	7825
265	4326	7807
266	4343	7791
267	4361	7778
268	4378	7764
269	4394	7746
270	4410	7730
271	4426	7714
272	4443	7698
273	4460	7683
274	4476	7667
275	4492	7651
276	4508	7633
277	4526	7619
278	4540	7600
279	4557	7585
280	4573	7567
281	4589	7551
282	4603	7531
283	4620	7516
284	4638	7503
285	4655	7487
286	4672	7473
287	4688	7456
288	4708	7445
289	4729	7437
290	4750	7428
291	4767	7412
292	4783	7395
293	4799	7378
294	4816	7362
295	4834	7349
296	4852	7336
297	4870	7321
298	4890	7310
299	4914	7306
300	4939	7303
301	4968	7304
302	4995	7303
303	5012	7288
304	5030	7273
305	5046	7255
306	5063	7241
307	5080	7224
308	5097	7208
309	5113	7192
310	5130	7176
311	5147	7159
312	5163	7142
313	5182	7130
314	5198	7112
315	5214	7095
316	5231	7080
317	5248	7064
318	5265	7047
319	5280	7029
320	5296	7012
321	5312	6995
322	5330	6981
323	5347	6964
324	5362	6946
325	5377	6928
326	5392	6910
327	5409	6893
328	5425	6877
329	5441	6859
330	5457	6842
331	5475	6828
332	5492	6812
333	5508	6795
334	5524	6778
335	5541	6762
336	5557	6744
337	5573	6727
338	5589	6711
339	5605	6694
340	5622	6677
341	5636	6658
342	5653	6642
343	5669	6625
344	5688	6611
345	5704	6594
346	5722	6579
347	5739	6564
348	5756	6548
349	5773	6531
350	5787	6513
351	5806	6499
352	5822	6482
353	5837	6464
354	5854	6448
355	5869	6430
356	5887	6414
357	5904	6399
358	5921	6383
359	5939	6368
360	5955	6350
361	5972	6335
362	5987	6317
363	6003	6300
364	6018	6282
365	6035	6266
366	6053	6251
367	6068	6233
368	6083	6215
369	6099	6198
370	6115	6181
371	6132	6165
372	6148	6148
373	6164	6131
374	6182	6116
375	6197	6098
376	6216	6084
377	6233	6068
378	6250	6052
379	6270	6039
380	6286	6022
381	6302	6005
382	6319	5989
383	6336	5973
384	6352	5956
385	6369	5940
386	6385	5923
387	6401	5906
388	6417	5889
389	6434	5873
390	6450	5856
391	6466	5840
392	6482	5823
393	6498	5805
394	6516	5790
395	6532	5773
396	6550	5758
397	6566	5741
398	6582	5725
399	6598	5708
400	6616	5692
401	6632	5675
402	6648	5658
403	6663	5640
404	6677	5622
405	6695	5607
406	6710	5589
407	6727	5573
408	6743	5556
409	6759	5539
410	6775	5522
411	6791	5506
412	6807	5488
413	6823	5472
414	6839	5455
415	6856	5438
416	6872	5421
417	6888	5405
418	6904	5388
419	6921	5372
420	6937	5355
421	6952	5337
422	6969	5322
423	6985	5304
424	7001	5287
425	7017	5271
426	7033	5254
427	7050	5238
428	7067	5222
429	7082	5205
430	7100	5189
431	7115	5172
432	7131	5155
433	7149	5139
434	7165	5122
435	7181	5106
436	7197	5088
437	7214	5072
438	7230	5056
439	7247	5040
440	7263	5023
441	7278	5006
442	7294	4989
443	7310	4972
444	7328	4956
445	7344	4940
446	7360	4923
447	7376	4906
448	7392	4889
449	7409	4874
450	7426	4857
451	7442	4840
452	7459	4824
453	7474	4807
454	7489	4790
455	7506	4773
456	7522	4757
457	7538	4740
458	7554	4723
459	7570	4707
460	7587	4690
461	7601	4673
462	7618	4656
463	7635	4640
464	7651	4623
465	7666	4606
466	7684	4591
467	7700	4574
468	7716	4557
469	7734	4542
470	7750	4525
471	7767	4509
472	7782	4492
473	7798	4475
474	7814	4458
475	7830	4441
476	7846	4425
477	7863	4408
478	7879	4392
479	7897	4376
480	7913	4359
481	7930	4343
482	7946	4326
483	7961	4309
484	7977	4292
485	7994	4276
486	8012	4261
487	8028	4244
488	8043	4227
489	8061	4211
490	8076	4194
491	8092	4177
492	8106	4160
493	8123	4144
494	8140	4127
495	8155	4110
496	8172	4094
497	8189	4078
498	8206	4062
499	8223	4045
500	8240	4029
501	8256	4013
502	8273	3996
503	8288	3979
504	8304	3963
505	8320	3946
506	8337	3930
507	8352	3913
508	8369	3896
509	8385	3880
510	8401	3863
511	8418	3847
512	8434	3830
513	8450	3814
514	8467	3798
515	8482	3781
516	8499	3764
517	8517	3748
518	8533	3732
519	8549	3715
520	8565	3698
521	8580	3682
522	8596	3665
523	8612	3648
524	8631	3633
525	8649	3617
526	8664	3600
527	8682	3584
528	8699	3568
529	8715	3551
530	8731	3535
531	8746	3518
532	8762	3501
533	8780	3485
534	8795	3469
535	8810	3452
536	8826	3435
537	8841	3418
538	8855	3400
539	8872	3384
540	8889	3368
541	8904	3351
542	8920	3334
543	8937	3318
544	8954	3302
545	8969	3285
546	8986	3269
547	9001	3252
548	9018	3236
549	9037	3220
550	9052	3203
551	9067	3186
552	9084	3170
553	9102	3154
554	9118	3138
555	9134	3121
556	9151	3105
557	9167	3088
558	9184	3072
559	9200	3055
560	9217	3039
561	9236	3023
562	9253	3007
563	9271	2991
564	9286	2974
565	9301	2958
566	9317	2941
567	9334	2925
568	9350	2908
569	9368	2892
570	9384	2876
571	9399	2859
572	9414	2842
573	9431	2826
574	9448	2809
575	9465	2793
576	9481	2777
577	9497	2760
578	9513	2743
579	9532	2728
580	9548	2711
581	9565	2695
582	9581	2678
583	9597	2662
584	9613	2645
585	9629	2629
586	9645	2612
587	9661	2596
588	9680	2580
589	9696	2563
590	9713	2547
591	9730	2531
592	9747	2514
593	9764	2498
594	9781	2482
595	9797	2465
596	9814	2449
597	9831	2433
598	9848	2416
599	9866	2400
600	9884	2384
601	9903	2368
602	9922	2353
603	9939	2336
604	9955	2320
605	9972	2303
606	9989	2287
607	10005	2270
608	10022	2254
609	10039	2238
610	10055	2221
611	10072	2205
612	10087	2188
613	10104	2172
614	10121	2156
615	10139	2139
616	10155	2123
617	10173	2107
618	10188	2090
619	10205	2074
620	10223	2057
621	10239	2041
622	10255	2024
623	10272	2008
624	10287	1991
625	10303	1975
626	10319	1958
627	10334	1941
628	10351	1925
629	10367	1909
630	10382	1892
631	10398	1875
632	10416	1859
633	10432	1842
634	10449	1826
635	10466	1810
636	10483	1793
637	10497	1777
638	10514	1760
639	10530	1744
640	10547	1727
641	10563	1711
642	10581	1695
643	10596	1678
644	10613	1661
645	10629	1645
646	10645	1628
647	10661	1612
648	10678	1595
649	10694	1579
650	10712	1563
651	10728	1546
652	10744	1530
653	10761	1513
654	10779	1497
655	10795	1481
656	10811	1464
657	10827	1448
658	10843	1431
659	10860	1415
660	10877	1398
661	10893	1382
662	10911	1365
663	10927	1349
664	10945	1333
665	10961	1316
666	10978	1300
667	10996	1283
668	11011	1267
669	11029	1251
670	11044	1234
671	11059	1217
672	11075	1201
673	11092	1184
674	11112	1168
675	11129	1152
676	11145	1135
677	11160	1119
678	11175	1102
679	11190	1086
680	11207	1069
681	11223	1053
682	11241	1036
683	11257	1020
684	11272	1003
685	11289	987
686	11305	970
687	11323	954
688	11339	938
689	11357	921
690	11374	905
691	11390	888
692	11408	872
693	11424	856
694	11440	839
695	11455	822
696	11473	806
697	11490	790
698	11507	773
699	11524	757
700	11540	740
701	11556	724
702	11573	707
703	11589	691
704	11605	674
705	11621	658
706	11637	641
707	11654	625
708	11671	609
709	11688	592
710	11705	576
711	11720	559
712	11734	543
713	11751	526
714	11767	510
715	11783	493
716	11800	477
717	11818	460
718	11834	444
719	11851	427
720	11867	411
721	11885	395
722	11901	378
723	11917	362
724	11935	345
725	11951	329
726	11969	312
727	11986	296
728	12003	279
729	12020	263
730	12037	247
731	12054	230
732	12070	214
733	12086	197
734	12103	181
735	12118	164
736	12137	148
737	12153	131
738	12171	115
739	12186	98
740	12201	82
741	12218	65
742	12234	49
743	12249	32
744	12266	16
745	12281	0
